"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Skate Skiing","XC-Ski","","","","2026-01-26","","15224.01953125","184","382","609.496","","0.916911661624908","4.61199998855591","","","","150","163","","","","","0","2","14","39","0","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-01-27","","0","","","","","1.11935639381409","0","","","","114","148","","","","","22","25","12","0","0","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-01-29","","0","","","","","1.11033582687378","0","","","","124","166","","","","","14","29","22","1","0","","","","","","","","","","","","","","","","",""
"Skate Skiing","XC-Ski","","","","2026-01-31","","15226.2998046875","194","402","624.158","","0.893114447593689","4.73600006103516","","","","155","166","","","","","0","1","4","49","0","","","","","","","","","","","","","","","","",""
"Skate Skiing","XC-Ski","","","","2026-02-01","","21030.009765625","179","429","862.251","","1.33939146995544","4.36100006103516","","","","156","169","","","","","0","1","8","69","2","","","","","","","","","","","","","","","","",""
