"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Cardio","Other","","","","2026-01-26","","0","","","","","0.190286666154861","0","","","","105","136","","","","","1","4","0","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-01-26","","0","","","","","1.03073143959045","0","","","","140","176","","","","","3","8","47","","","","","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2026-01-26","","0","","","","","0.250764161348343","0","","","","155","178","","","","","0","1","13","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-01-29","","0","","","","","0.866720855236053","0","","","","147","180","","","","","1","10","38","","","","","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2026-01-29","","0","","","","","0.51380443572998","0","","","","155","178","","","","","0","0","30","","","","","","","","","","","","","","","","","","",""
