"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Strength","Strength","","","","2026-01-27","","0","","","","","1.89917778968811","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Skate Skiing","XC-Ski","","","","2026-01-29","","16555.400390625","131","380","505.811","","1.07006645202637","4.2979998588562","","","","157","175","","","","","0","1","64","","","","","","","","","","","","","","","","","","",""
"Skate Skiing","XC-Ski","","","","2026-01-30","","844.02001953125","0","158","2.044","","1.83185696601868","0.128000006079674","","22","","116","160","","","","","36","38","21","","","","","","","","","","","","","","","","","","",""
"Skate Skiing","XC-Ski","","","","2026-01-31","","16542.6796875","129","349","481.631","","1.03808307647705","4.42700004577637","","","","163","178","","","","","0","0","62","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-01-31","","0","","","","","1.62415814399719","0","","","","117","175","","","","","27","32","26","","","","","","","","","","","","","","","","","","",""
"Skate Skiing","XC-Ski","","","","2026-02-01","","16557.83984375","118","366","465.207","","1.09251773357391","4.21000003814697","","","","158","174","","","","","0","1","65","","","","","","","","","","","","","","","","","","",""
