"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Strength","Strength","","","","2026-01-27","","0","","","","","0.895318031311035","0","","","","96","131","","","","","5","0","0","","","","","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2026-01-27","","0","","","","","0.509158611297607","0","","","","129","180","","","","","5","7","8","","","","","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2026-01-28","","0","","","","","0.666802227497101","0","","","","134","147","","","","","0","40","0","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-29","","2789.43994140625","","","","","0.536411702632904","1.44400000572205","","100","","117","138","","","","","15","8","0","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-01-29","","0","","","","","1.22033774852753","0","","","","109","161","","","","","18","9","0","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-01-31","","0","","","","","0.694706678390503","0","","","","108","147","","","","","13","4","0","","","","","","","","","","","","","","","","","","",""
"Indoor Cycling","Bike","","","","2026-01-31","","0","","","","","0.166786670684814","0","","","","127","138","","","","","1","9","0","","","","","","","","","","","","","","","","","","",""
