"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Walking","Walk","","","","2026-01-26","","0","","","","","0.370833333333333","","","","","121","159","","","","","6","7","1","","","","","","","","","","","","","","","","","","",""
"Other","Other","","","","2026-01-27","","0","","","","","3.28944444444444","","","","","126","199","","","","","26","45","42","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-29","","0","","","","","0.347777777777778","","","","","108","142","","","","","3","1","0","","","","","","","","","","","","","","","","","","",""
"Other","Other","","","","2026-01-30","","0","","","","","2.43833333333333","","","","","139","195","","","","","20","64","43","","","","","","","","","","","","","","","","","","",""
"Other","Other","","","","2026-02-01","","0","","","","","0.308333333333333","","","","","107","154","","","","","1","4","0","","","","","","","","","","","","","","","","","","",""
