"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"MyWhoosh - Desert Pearls","Bike","","","","2026-01-27","","45804.94140625","184","210","997.832","","1.50361108779907","8.46199989318848","","83","","146","169","","","","","3","42","45","","","","","","","","","","","","","","","","","","",""
"MyWhoosh - Medellin City","Bike","","","","2026-01-28","","18240.150390625","207","354","437.257","","0.586111128330231","8.64500045776367","","88","","152","185","","","","","1","9","24","","","","","","","","","","","","","","","","","","",""
"MyWhoosh - City Reef Park","Bike","","","","2026-02-01","","21983.26953125","172","259","470.177","","0.757222235202789","8.06400012969971","","80","","143","167","","","","","2","26","18","","","","","","","","","","","","","","","","","","",""
