"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Other","Other","","","","2026-01-26","","0","","","","","0.56417441368103","0","","","","129","166","","","","","5","13","10","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-01-26","","0","","","","","1.1168577671051","0","","","","118","159","","","","","23","27","4","","","","","","","","","","","","","","","","","","",""
"Indoor Rowing","Rowing","","","","2026-01-26","","0","","","","","0.180338874459267","0","","27","","141","168","","","","","1","1","8","","","","","","","","","","","","","","","","","","",""
"Other","Other","","","","2026-01-28","","0","","","","","0.625679731369019","0","","","","105","173","","","","","9","6","1","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-01-28","","0","","","","","1.36199164390564","0","","","","100","154","","","","","21","7","0","","","","","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2026-01-28","","0","","","","","0.502535581588745","0","","","","126","178","","","","","2","6","12","","","","","","","","","","","","","","","","","","",""
"Other","Other","","","","2026-01-30","","0","","","","","1.19927716255188","0","","","","114","151","","","","","27","19","6","","","","","","","","","","","","","","","","","","",""
"Indoor Walking","Walk","","","","2026-01-30","","1734.27001953125","","","","","0.334227234125137","1.44099998474121","","105","","119","126","","","0.440198133801057","6.98","3","16","0","","","","","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2026-01-31","","0","","","","","1.30361616611481","0","","","","110","166","","","","","18","14","6","","","","","","","","","","","","","","","","","","",""
