"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Walking","Walk","","","","2026-01-26","","873.239990234375","","","","","0.195168882608414","1.24300003051758","","118","","117","147","","","0.408205501168256","3.46","5","5","0","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-01-26","","0","","","","","0.917739748954773","0","","","","123","172","","","","","15","28","5","","","","","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2026-01-26","","0","","","","","0.298171937465668","0","","","","140","184","","","","","4","5","8","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2026-01-28","","185.770004272461","","","","","0.0450333319604397","1.14600002765656","","120","","124","131","","","0.43465357950381","0.85","1","2","0","","","","","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2026-01-29","","0","","","","","1.74974954128265","0","","","","116","157","","","","","41","34","5","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-29","","1693.27001953125","","","","","0.316254705190659","1.48699998855591","","126","","111","134","","","0.481627213256618","7.85","4","9","0","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-29","","1829.03002929688","","","","","0.674833595752716","0.753000020980835","","118","","111","147","","","0.324759186099883","7.81","21","10","0","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-02-01","","0","","","","","1.07846248149872","0","","","","113","157","","","","","18","22","2","","","","","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2026-02-01","","0","","","","","0.33469557762146","0","","","","150","167","","","","","0","2","17","","","","","","","","","","","","","","","","","","",""
