"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Tennis","Other","","","","2026-01-26","","2917.1298828125","","","","","1.04612302780151","0.774999976158142","","58","","121","156","","","","","7","41","9","","","","","","","","","","","","","","","","","","",""
"Strength training","Strength","","","","2026-01-28","","2176.02001953125","","","","","1.40070271492004","0.432000011205673","","60","","112","151","","","","","22","39","3","","","","","","","","","","","","","","","","","","",""
"Tennis","Other","","","","2026-01-29","","3786.71997070313","","","","","1.06586718559265","0.986999988555908","","56","","123","174","","","","","11","44","9","","","","","","","","","","","","","","","","","","",""
"Strength training","Strength","","","","2026-01-30","","2365.96997070313","","","","","1.48665285110474","0.44200000166893","","58","","138","178","","","","","5","36","50","","","","","","","","","","","","","","","","","","",""
"Ice Hockey","Other","","","","2026-02-01","","1622.31005859375","","","","","1.16039729118347","0.388000011444092","","60","","146","182","","","","","0","23","48","","","","","","","","","","","","","","","","","","",""
