"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Strength Training","Strength","","","","2026-01-26","","0","","","","","1.08244943618774","","","","","106","154","","","","","12","6","0","","","","","","","","","","","","","","","","","","",""
"Other","Other","","","","2026-01-26","","0","","","","","0.0831561088562012","","","","","153","176","","","","","0","0","4","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-01-26","","0","","","","","0.00416500028222799","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-01-28","","0","","","","","0.554684698581696","0","","","","112","135","","","","","12","3","0","","","","","","","","","","","","","","","","","","",""
"Skate Skiing","XC-Ski","","","","2026-01-31","","1462.89001464844","","","","","0.103846661746502","3.91300010681152","","","","153","167","","","","","0","1","5","","","","","","","","","","","","","","","","","","",""
"Skate Skiing","XC-Ski","","","","2026-02-01","","2236.830078125","","","","","0.19526332616806","3.18199992179871","","","","172","189","","","","","0","0","11","","","","","","","","","","","","","","","","","","",""
