"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Other","Other","","","","2026-01-26","","","","","","","1.36694443225861","","","","","113","161","","","","","23","23","2","","","","","","","","","","","","","","","","","","",""
"Other","Other","","","","2026-01-27","","","","","","","0.741111099720001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indoor Cycling","Bike","","","","2026-01-27","","","","","","","0.189166665077209","","","","","133","150","","","","","1","7","2","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-28","","5108.52978515625","","","","","1.13333332538605","1.25209063361673","","","","163","180","","","0.552768771085513","38.48","1","11","55","","","","","","","","","","","","","","","","","","",""
"Other","Other","","","","2026-01-29","","","","","","","0.990000009536743","","","","","92","126","","","","","4","1","0","","","","","","","","","","","","","","","","","","",""
"Indoor Cycling","Bike","","","","2026-01-29","","","","","","","0.339166671037674","","","","","108","126","","","","","10","2","0","","","","","","","","","","","","","","","","","","",""
"Other","Other","","","","2026-01-30","","","","","","","0.883055567741394","","","","","98","145","","","","","9","5","0","","","","","","","","","","","","","","","","","","",""
"Alpine Skiing","XC-Ski","","","","2026-02-01","","8116.50732421875","","","","","1.6972222328186","2.74021179075582","","","","110","150","","","","","11","12","0","","","","","","","","","","","","","","","","","","",""
