"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Treadmill Running","Run","","","","2026-01-27","","3745","","","","","0.367257803678513","2.83299994468689","","150","","132","159","","","1.11190121269051","49.01","2","3","15","","","","","","","","","","","","","","","","","","",""
"Training","Other","","","","2026-01-27","","","","","","","1.17247378826141","","","","","85","125","","","","","9","3","0","","","","","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2026-01-29","","3060","","","","","0.328949451446533","2.58400011062622","","154","","136","158","","","1.00210526493448","35.58","0","4","15","","","","","","","","","","","","","","","","","","",""
"Training","Other","","","","2026-01-29","","","","","","","1.05587196350098","","","","","89","137","","","","","9","11","0","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2026-01-31","","8268","218","254","747.298","","0.9542555809021","2.40700006484985","","156","","118","133","","","0.897019592391674","84.95","0","53","4","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-02-01","","1005","","","","","0.202811375260353","1.37600004673004","","106","","78","87","","","0.555844775601397","6.67","","","","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-02-01","","498","","","","","0.0843052789568901","1.64100003242493","","104","","75","80","","","0.612758126206321","3.29","","","","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-02-01","","1737","","","","","0.348398327827454","1.38499999046326","","104","","82","90","","","0.526158631791482","10.4","","","","","","","","","","","","","","","","","","","","","",""
