"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Strength","Strength","","","","2026-01-26","","0","","","","","1.19662082195282","0","","","","105","145","","","","","19","7","0","","","","","","","","","","","","","","","","","","",""
"Indoor Cycling","Bike","","","","2026-01-27","","0","","","","","0.753789722919464","0","","","","127","142","","","","","3","41","0","","","","","","","","","","","","","","","","","","2","1"
"Indoor Cycling","Bike","","","","2026-01-28","","0","","","","","0.168381676077843","0","","","","123","135","","","","","2","7","0","","","","","","","","","","","","","","","","","","2","3"
"Treadmill Running","Run","","","","2026-01-28","","3303.65991210938","360","427","438.663","","0.338822215795517","2.70799994468689","","153","","123","136","","","1.01008397936821","37.25","5","15","0","","","","","","","","","","","","","","","","","","2","3"
"Strength","Strength","","","","2026-01-29","","0","","","","","1.0811722278595","0","","","","97","148","","","","","11","5","0","","","","","","","","","","","","","","","","","","",""
"Indoor Cycling","Bike","","","","2026-01-29","","0","","","","","0.250854164361954","0","","","","129","137","","","","","1","14","0","","","","","","","","","","","","","","","","","","2","1"
"Treadmill Running","Run","","","","2026-01-30","","6629.56982421875","309","448","874.788","","0.785456657409668","2.34500002861023","","145","","125","140","","","0.874685010671616","66.18","4","38","0","","","","","","","","","","","","","","","","","","2","3"
"Running","Run","","","","2026-01-31","","8209.6396484375","325","403","1107.681","","0.947474956512451","2.40700006484985","","155","","119","133","","","0.897339211432374","84.4","34","21","0","","","","","","","","","","","","","","","","","","2","3"
